Airline,Aircraft,Day,Scheduled Time,Actual Time
Jetstar,JQ520,23 Aug 2024,3:25 PM,3:59 PM
Jetstar,JQ520,24 Aug 2024,3:25 PM,3:37 PM
Jetstar,JQ520,25 Aug 2024,3:25 PM,4:29 PM
Jetstar,JQ520,26 Aug 2024,3:25 PM,4:10 PM
Jetstar,JQ520,27 Aug 2024,3:25 PM,3:43 PM
Jetstar,JQ520,28 Aug 2024,3:25 PM,
Jetstar,JQ520,29 Aug 2024,3:25 PM,4:06 PM
Jetstar,JQ520,30 Aug 2024,3:25 PM,3:58 PM
Jetstar,JQ522,1 Aug 2024,3:55 PM,4:33 PM
Jetstar,JQ522,02 Aug 2024,3:40 PM,4:50 PM
Jetstar,JQ522,03 Aug 2024,4:15 PM,4:27 PM
Jetstar,JQ522,04 Aug 2024,4:15 PM,4:49 PM
Jetstar,JQ522,05 Aug 2024,3:55 PM,4:06 PM
Jetstar,JQ522,06 Aug 2024,,
Jetstar,JQ522,07 Aug 2024,4:15 PM,4:37 PM
Jetstar,JQ522,08 Aug 2024,3:55 PM,4:01 PM
Jetstar,JQ522,09 Aug 2024,3:40 PM,3:48 PM
Jetstar,JQ522,10 Aug 2024,4:15 PM,4:35 PM
Jetstar,JQ522,11 Aug 2024,4:15 PM,4:36 PM
Jetstar,JQ522,12 Aug 2024,3:55 PM,4:10 PM
Jetstar,JQ522,13 Aug 2024,4:15 PM,4:27 PM
Jetstar,JQ522,14 Aug 2024,4:15 PM,4:48 PM
Jetstar,JQ522,15 Aug 2024,3:55 PM,4:03 PM
Jetstar,JQ522,16 Aug 2024,,
Jetstar,JQ522,17 Aug 2024,4:15 PM,4:19 PM
Jetstar,JQ522,18 Aug 2024,4:15 PM,5:09 PM
Jetstar,JQ522,19 Aug 2024,3:55 PM,4:10 PM
Jetstar,JQ522,20 Aug 2024,4:15 PM,4:46 PM
Jetstar,JQ522,21 Aug 2024,4:15 PM,5:17 PM
Jetstar,JQ522,22 Aug 2024,3:55 PM,4:16 PM
Jetstar,JQ522,23 Aug 2024,3:40 PM,3:54 PM
Jetstar,JQ522,24 Aug 2024,4:15 PM,4:31 PM
Jetstar,JQ522,25 Aug 2024,4:15 PM,5:13 PM
Jetstar,JQ522,26 Aug 2024,3:55 PM,4:04 PM
Jetstar,JQ522,27 Aug 2024,4:15 PM,4:18 PM
Jetstar,JQ522,28 Aug 2024,4:15 PM,6:17 PM
Jetstar,JQ522,29 Aug 2024,3:55 PM,4:53 PM
Jetstar,JQ522,30 Aug 2024,3:40 PM,4:09 PM
Jetstar,JQ522,31 Aug 2024,4:15 PM,6:22 PM
Jetstar,JQ524,1 Aug 2024,5:40 PM,5:57 PM
Jetstar,JQ524,02 Aug 2024,5:40 PM,5:52 PM
Jetstar,JQ524,03 Aug 2024,5:40 PM,5:53 PM
Jetstar,JQ524,04 Aug 2024,5:40 PM,5:50 PM
Jetstar,JQ524,05 Aug 2024,5:40 PM,6:05 PM
Jetstar,JQ524,06 Aug 2024,5:40 PM,5:48 PM
Jetstar,JQ524,07 Aug 2024,5:40 PM,6:31 PM
Jetstar,JQ524,08 Aug 2024,5:40 PM,5:52 PM
Jetstar,JQ524,09 Aug 2024,5:40 PM,5:58 PM
Jetstar,JQ524,10 Aug 2024,5:40 PM,5:50 PM
Jetstar,JQ524,11 Aug 2024,5:40 PM,5:58 PM
Jetstar,JQ524,12 Aug 2024,5:40 PM,5:57 PM
Jetstar,JQ524,13 Aug 2024,5:40 PM,5:54 PM
Jetstar,JQ524,14 Aug 2024,5:40 PM,5:53 PM
Jetstar,JQ524,15 Aug 2024,5:40 PM,6:02 PM
Jetstar,JQ524,16 Aug 2024,5:40 PM,8:34 PM
Jetstar,JQ524,17 Aug 2024,5:40 PM,5:52 PM
Jetstar,JQ524,18 Aug 2024,5:40 PM,7:37 PM
Jetstar,JQ524,19 Aug 2024,5:40 PM,5:55 PM
Jetstar,JQ524,20 Aug 2024,5:40 PM,6:20 PM
Jetstar,JQ524,21 Aug 2024,5:40 PM,6:00 PM
Jetstar,JQ524,22 Aug 2024,5:40 PM,5:57 PM
Jetstar,JQ524,23 Aug 2024,5:40 PM,6:00 PM
Jetstar,JQ524,24 Aug 2024,5:40 PM,5:57 PM
Jetstar,JQ524,25 Aug 2024,5:40 PM,6:02 PM
Jetstar,JQ524,26 Aug 2024,5:40 PM,6:09 PM
Jetstar,JQ524,27 Aug 2024,5:40 PM,5:57 PM
Jetstar,JQ524,28 Aug 2024,5:40 PM,7:43 PM
Jetstar,JQ524,29 Aug 2024,5:40 PM,5:58 PM
Jetstar,JQ524,30 Aug 2024,5:40 PM,5:56 PM
Jetstar,JQ524,31 Aug 2024,5:40 PM,6:28 PM
Jetstar,JQ528,1 Aug 2024,7:15 PM,7:22 PM
Jetstar,JQ528,02 Aug 2024,7:15 PM,7:23 PM
Jetstar,JQ528,03 Aug 2024,7:15 PM,7:21 PM
Jetstar,JQ528,04 Aug 2024,7:15 PM,7:23 PM
Jetstar,JQ528,05 Aug 2024,7:15 PM,7:20 PM
Jetstar,JQ528,06 Aug 2024,7:15 PM,7:19 PM
Jetstar,JQ528,07 Aug 2024,7:15 PM,7:35 PM
Jetstar,JQ528,08 Aug 2024,7:15 PM,7:36 PM
Jetstar,JQ528,09 Aug 2024,7:15 PM,7:21 PM
Jetstar,JQ528,10 Aug 2024,7:15 PM,7:27 PM
Jetstar,JQ528,11 Aug 2024,7:15 PM,7:19 PM
Jetstar,JQ528,12 Aug 2024,7:15 PM,7:16 PM
Jetstar,JQ528,13 Aug 2024,7:15 PM,7:29 PM
Jetstar,JQ528,14 Aug 2024,7:15 PM,7:39 PM
Jetstar,JQ528,15 Aug 2024,7:15 PM,7:39 PM
Jetstar,JQ528,16 Aug 2024,7:15 PM,
Jetstar,JQ528,17 Aug 2024,7:15 PM,7:22 PM
Jetstar,JQ528,18 Aug 2024,7:15 PM,7:39 PM
Jetstar,JQ528,19 Aug 2024,7:15 PM,7:23 PM
Jetstar,JQ528,20 Aug 2024,7:15 PM,7:22 PM
Jetstar,JQ528,21 Aug 2024,7:15 PM,7:19 PM
Jetstar,JQ528,22 Aug 2024,7:15 PM,7:33 PM
Jetstar,JQ528,23 Aug 2024,7:15 PM,7:29 PM
Jetstar,JQ528,24 Aug 2024,7:15 PM,
Jetstar,JQ528,25 Aug 2024,7:15 PM,8:39 PM
Jetstar,JQ528,26 Aug 2024,7:15 PM,7:24 PM
Jetstar,JQ528,27 Aug 2024,7:15 PM,7:29 PM
Jetstar,JQ528,28 Aug 2024,7:15 PM,8:51 PM
Jetstar,JQ528,29 Aug 2024,7:15 PM,8:30 PM
Jetstar,JQ528,30 Aug 2024,7:15 PM,8:14 PM
Jetstar,JQ528,31 Aug 2024,7:15 PM,8:02 PM
Jetstar,JQ530,1 Aug 2024,8:15 PM,8:21 PM
Jetstar,JQ530,02 Aug 2024,8:15 PM,8:34 PM
Jetstar,JQ530,03 Aug 2024,8:15 PM,8:21 PM
Jetstar,JQ530,04 Aug 2024,8:15 PM,9:07 PM
Jetstar,JQ530,05 Aug 2024,8:15 PM,8:31 PM
Jetstar,JQ530,06 Aug 2024,8:15 PM,8:18 PM
Jetstar,JQ530,07 Aug 2024,8:15 PM,8:23 PM
Jetstar,JQ530,08 Aug 2024,8:15 PM,9:01 PM
Jetstar,JQ530,09 Aug 2024,8:15 PM,8:16 PM
Jetstar,JQ530,10 Aug 2024,8:15 PM,8:29 PM
Jetstar,JQ530,11 Aug 2024,8:15 PM,
Jetstar,JQ530,12 Aug 2024,8:15 PM,8:23 PM
Jetstar,JQ530,13 Aug 2024,8:15 PM,8:16 PM
Jetstar,JQ530,14 Aug 2024,8:15 PM,8:43 PM
Jetstar,JQ530,15 Aug 2024,8:15 PM,8:32 PM
Jetstar,JQ530,16 Aug 2024,8:15 PM,
Jetstar,JQ530,17 Aug 2024,8:15 PM,8:53 PM
Jetstar,JQ530,18 Aug 2024,8:15 PM,8:22 PM
Jetstar,JQ530,19 Aug 2024,8:15 PM,8:18 PM
Jetstar,JQ530,20 Aug 2024,8:15 PM,8:20 PM
Jetstar,JQ530,21 Aug 2024,8:15 PM,8:32 PM
Jetstar,JQ530,22 Aug 2024,8:15 PM,8:29 PM
Jetstar,JQ530,23 Aug 2024,8:15 PM,8:22 PM
Jetstar,JQ530,24 Aug 2024,8:15 PM,8:19 PM
Jetstar,JQ530,25 Aug 2024,8:15 PM,9:49 PM
Jetstar,JQ530,26 Aug 2024,8:15 PM,8:52 PM
Jetstar,JQ530,27 Aug 2024,8:15 PM,8:22 PM
Jetstar,JQ530,28 Aug 2024,8:15 PM,9:00 PM
Jetstar,JQ530,29 Aug 2024,8:15 PM,8:43 PM
Jetstar,JQ530,30 Aug 2024,8:15 PM,8:45 PM
Jetstar,JQ530,31 Aug 2024,8:15 PM,8:29 PM
Jetstar,JQ532,1 Aug 2024,8:50 PM,9:20 PM
Jetstar,JQ532,02 Aug 2024,8:50 PM,9:06 PM
Jetstar,JQ532,03 Aug 2024,8:50 PM,8:56 PM
Jetstar,JQ532,04 Aug 2024,8:50 PM,8:53 PM
Jetstar,JQ532,05 Aug 2024,8:50 PM,8:57 PM
Jetstar,JQ532,06 Aug 2024,8:50 PM,8:49 PM
Jetstar,JQ532,07 Aug 2024,8:50 PM,8:55 PM
Jetstar,JQ532,08 Aug 2024,8:50 PM,9:17 PM
Jetstar,JQ532,09 Aug 2024,8:50 PM,9:10 PM
Jetstar,JQ532,10 Aug 2024,8:50 PM,8:53 PM
Jetstar,JQ532,11 Aug 2024,8:50 PM,9:02 PM
Jetstar,JQ532,12 Aug 2024,8:50 PM,8:51 PM
Jetstar,JQ532,13 Aug 2024,8:50 PM,8:50 PM
Jetstar,JQ532,14 Aug 2024,8:50 PM,
Jetstar,JQ532,15 Aug 2024,8:50 PM,8:58 PM
Jetstar,JQ532,16 Aug 2024,8:50 PM,
Jetstar,JQ532,17 Aug 2024,8:50 PM,9:06 PM
Jetstar,JQ532,18 Aug 2024,8:50 PM,8:58 PM
Jetstar,JQ532,19 Aug 2024,8:50 PM,8:54 PM
Jetstar,JQ532,20 Aug 2024,8:50 PM,9:08 PM
Jetstar,JQ532,21 Aug 2024,8:50 PM,9:17 PM
Jetstar,JQ532,22 Aug 2024,8:50 PM,9:09 PM
Jetstar,JQ532,23 Aug 2024,8:50 PM,9:09 PM
Jetstar,JQ532,24 Aug 2024,8:50 PM,8:51 PM
Jetstar,JQ532,25 Aug 2024,8:50 PM,9:43 PM
Jetstar,JQ532,26 Aug 2024,8:50 PM,8:54 PM
Jetstar,JQ532,27 Aug 2024,8:50 PM,9:19 PM
Jetstar,JQ532,28 Aug 2024,8:50 PM,
Jetstar,JQ532,29 Aug 2024,8:50 PM,9:25 PM
Jetstar,JQ532,30 Aug 2024,8:50 PM,9:35 PM
Jetstar,JQ532,31 Aug 2024,8:50 PM,9:05 PM
Quantas,QF402,1 Aug 2024,6:00 AM,6:50 AM
Quantas,QF402,02 Aug 2024,6:00 AM,6:06 AM
Quantas,QF402,03 Aug 2024,6:00 AM,6:07 AM
Quantas,QF402,04 Aug 2024,6:00 AM,6:18 AM
Quantas,QF402,05 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,06 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,07 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,08 Aug 2024,6:00 AM,6:11 AM
Quantas,QF402,09 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,10 Aug 2024,6:00 AM,6:06 AM
Quantas,QF402,11 Aug 2024,6:00 AM,6:25 AM
Quantas,QF402,12 Aug 2024,6:00 AM,6:05 AM
Quantas,QF402,13 Aug 2024,6:00 AM,
Quantas,QF402,14 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,15 Aug 2024,6:00 AM,6:10 AM
Quantas,QF402,16 Aug 2024,6:00 AM,6:13 AM
Quantas,QF402,17 Aug 2024,6:00 AM,6:30 AM
Quantas,QF402,18 Aug 2024,6:00 AM,6:06 AM
Quantas,QF402,19 Aug 2024,6:00 AM,6:03 AM
Quantas,QF402,20 Aug 2024,6:00 AM,6:07 AM
Quantas,QF402,21 Aug 2024,6:00 AM,6:04 AM
Quantas,QF402,22 Aug 2024,6:00 AM,6:04 AM
Quantas,QF402,23 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,24 Aug 2024,6:00 AM,6:14 AM
Quantas,QF402,25 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,26 Aug 2024,6:00 AM,6:05 AM
Quantas,QF402,27 Aug 2024,6:00 AM,6:08 AM
Quantas,QF402,28 Aug 2024,6:00 AM,6:09 AM
Quantas,QF402,29 Aug 2024,6:00 AM,6:02 AM
Quantas,QF402,30 Aug 2024,6:00 AM,6:07 AM
Quantas,QF402,31 Aug 2024,6:00 AM,6:11 AM
Quantas,QF406,1 Aug 2024,6:30 AM,7:04 AM
Quantas,QF406,02 Aug 2024,6:30 AM,6:42 AM
Quantas,QF406,03 Aug 2024,6:30 AM,6:50 AM
Quantas,QF406,04 Aug 2024,6:30 AM,
Quantas,QF406,05 Aug 2024,6:30 AM,6:39 AM
Quantas,QF406,06 Aug 2024,6:30 AM,
Quantas,QF406,07 Aug 2024,6:30 AM,6:33 AM
Quantas,QF406,08 Aug 2024,6:30 AM,6:49 AM
Quantas,QF406,09 Aug 2024,6:30 AM,6:39 AM
Quantas,QF406,10 Aug 2024,6:30 AM,6:33 AM
Quantas,QF406,11 Aug 2024,6:30 AM,
Quantas,QF406,12 Aug 2024,6:30 AM,6:38 AM
Quantas,QF406,13 Aug 2024,6:30 AM,6:46 AM
Quantas,QF406,14 Aug 2024,6:30 AM,6:39 AM
Quantas,QF406,15 Aug 2024,6:30 AM,
Quantas,QF406,16 Aug 2024,6:30 AM,6:43 AM
Quantas,QF406,17 Aug 2024,6:30 AM,6:50 AM
Quantas,QF406,18 Aug 2024,6:30 AM,
Quantas,QF406,19 Aug 2024,6:30 AM,6:41 AM
